Stock,Code
LYB UN Equity,LYB
AXP UN Equity,AXP
VZ UN Equity,VZ
AVGO UW Equity,AVGO
BA UN Equity,BA
CAT UN Equity,CAT
JPM UN Equity,JPM
CVX UN Equity,CVX
KO UN Equity,KO
FLT UN Equity,FLT
EXR UN Equity,EXR
XOM UN Equity,XOM
PSX UN Equity,PSX
GE UN Equity,GE
HPQ UN Equity,HPQ
HD UN Equity,HD
MPWR UW Equity,MPWR
IBM UN Equity,IBM
LULU UW Equity,LULU
MCD UN Equity,MCD
MRK UN Equity,MRK
MMM UN Equity,MMM
AWK UN Equity,AWK
PFE UN Equity,PFE
PG UN Equity,PG
T UN Equity,T
TRV UN Equity,TRV
RTX UN Equity,RTX
WMT UN Equity,WMT
CSCO UW Equity,CSCO
GM UN Equity,GM
MSFT UW Equity,MSFT
DG UN Equity,DG
CI UN Equity,CI
KMI UN Equity,KMI
AIG UN Equity,AIG
MO UN Equity,MO
IP UN Equity,IP
ABT UN Equity,ABT
AFL UN Equity,AFL
APD UN Equity,APD
RCL UN Equity,RCL
HES UN Equity,HES
ADM UN Equity,ADM
ADP UW Equity,ADP
MSCI UN Equity,MSCI
BALL UN Equity,BALL
AXON UW Equity,AXON
BK UN Equity,BK
BAX UN Equity,BAX
BDX UN Equity,BDX
BBY UN Equity,BBY
BSX UN Equity,BSX
BMY UN Equity,BMY
BF/B UN Equity,BF-B
CTRA UN Equity,CTRA
CPB UN Equity,CPB
CCL UN Equity,CCL
UDR UN Equity,UDR
CMS UN Equity,CMS
CL UN Equity,CL
EPAM UN Equity,EPAM
CMA UN Equity,CMA
CAG UN Equity,CAG
ED UN Equity,ED
GLW UN Equity,GLW
CMI UN Equity,CMI
DHR UN Equity,DHR
TGT UN Equity,TGT
DE UN Equity,DE
D UN Equity,D
DOV UN Equity,DOV
STLD UW Equity,STLD
DUK UN Equity,DUK
ETN UN Equity,ETN
ECL UN Equity,ECL
EMR UN Equity,EMR
EOG UN Equity,EOG
AON UN Equity,AON
ETR UN Equity,ETR
EFX UN Equity,EFX
EQT UN Equity,EQT
IT UN Equity,IT
FDX UN Equity,FDX
FMC UN Equity,FMC
BRO UN Equity,BRO
F UN Equity,F
NEE UN Equity,NEE
BEN UN Equity,BEN
FCX UN Equity,FCX
GD UN Equity,GD
GIS UN Equity,GIS
GPC UN Equity,GPC
ATO UN Equity,ATO
GWW UN Equity,GWW
HAL UN Equity,HAL
DOC US Equity,DOC
HSY UN Equity,HSY
HRL UN Equity,HRL
AJG UN Equity,AJG
CNP UN Equity,CNP
HUM UN Equity,HUM
ITW UN Equity,ITW
TT UN Equity,TT
IPG UN Equity,IPG
IFF UN Equity,IFF
GNRC UN Equity,GNRC
NXPI UW Equity,NXPI
BR UN Equity,BR
KMB UN Equity,KMB
KIM UN Equity,KIM
KR UN Equity,KR
LLY UN Equity,LLY
CHTR UW Equity,CHTR
L UN Equity,L
LOW UN Equity,LOW
HUBB UN Equity,HUBB
IEX UN Equity,IEX
MMC UN Equity,MMC
MAS UN Equity,MAS
SPGI UN Equity,SPGI
MDT UN Equity,MDT
VTRS UW Equity,VTRS
CVS UN Equity,CVS
MU UW Equity,MU
MSI UN Equity,MSI
CBOE UF Equity,CBOE
LH UN Equity,LH
NEM UN Equity,NEM
NKE UN Equity,NKE
NI UN Equity,NI
NSC UN Equity,NSC
ES UN Equity,ES
NOC UN Equity,NOC
WFC UN Equity,WFC
NUE UN Equity,NUE
OXY UN Equity,OXY
OMC UN Equity,OMC
OKE UN Equity,OKE
RJF UN Equity,RJF
PCG UN Equity,PCG
PH UN Equity,PH
ROL UN Equity,ROL
PPL UN Equity,PPL
COP UN Equity,COP
PHM UN Equity,PHM
PNW UN Equity,PNW
PNC UN Equity,PNC
PPG UN Equity,PPG
PGR UN Equity,PGR
PEG UN Equity,PEG
RHI UN Equity,RHI
EIX UN Equity,EIX
SLB UN Equity,SLB
SCHW UN Equity,SCHW
SHW UN Equity,SHW
WST UN Equity,WST
SJM UN Equity,SJM
AME UN Equity,AME
SO UN Equity,SO
TFC UN Equity,TFC
LUV UN Equity,LUV
WRB UN Equity,WRB
PSA UN Equity,PSA
TXN UW Equity,TXN
TMO UN Equity,TMO
TJX UN Equity,TJX
GL UN Equity,GL
ULTA UW Equity,ULTA
UNP UN Equity,UNP
UNH UN Equity,UNH
BX UN Equity,BX
MRO UN Equity,MRO
BIO UN Equity,BIO
VTR UN Equity,VTR
VMC UN Equity,VMC
WY UN Equity,WY
WMB UN Equity,WMB
WEC UN Equity,WEC
AES UN Equity,AES
AMGN UW Equity,AMGN
ADSK UW Equity,ADSK
CTAS UW Equity,CTAS
CMCSA UW Equity,CMCSA
KLAC UW Equity,KLAC
MKC UN Equity,MKC
PCAR UW Equity,PCAR
COST UW Equity,COST
SYK UN Equity,SYK
AMAT UW Equity,AMAT
CAH UN Equity,CAH
CINF UW Equity,CINF
EA UW Equity,EA
FICO UN Equity,FICO
FAST UW Equity,FAST
MTB UN Equity,MTB
FITB UW Equity,FITB
GILD UW Equity,GILD
HBAN UW Equity,HBAN
WELL UN Equity,WELL
BIIB UW Equity,BIIB
NTRS UW Equity,NTRS
PKG UN Equity,PKG
PAYX UW Equity,PAYX
ROST UW Equity,ROST
IDXX UW Equity,IDXX
KEY UN Equity,KEY
STT UN Equity,STT
USB UN Equity,USB
AOS UN Equity,AOS
TROW UW Equity,TROW
WM UN Equity,WM
STZ UN Equity,STZ
XRAY UW Equity,XRAY
ZION UW Equity,ZION
IVZ UN Equity,IVZ
INTU UW Equity,INTU
MS UN Equity,MS
MCHP UW Equity,MCHP
CB UN Equity,CB
JBL UN Equity,JBL
ORLY UW Equity,ORLY
ALL UN Equity,ALL
EQR UN Equity,EQR
BWA UN Equity,BWA
SPG UN Equity,SPG
EMN UN Equity,EMN
AVB UN Equity,AVB
PRU UN Equity,PRU
UPS UN Equity,UPS
MCK UN Equity,MCK
COR UN Equity,COR
COF UN Equity,COF
WAT UN Equity,WAT
NDSN UW Equity,NDSN
DLTR UW Equity,DLTR
DRI UN Equity,DRI
NVR UN Equity,NVR
NTAP UW Equity,NTAP
ODFL UW Equity,ODFL
DVA UN Equity,DVA
HIG UN Equity,HIG
IRM UN Equity,IRM
EL UN Equity,EL
TYL UN Equity,TYL
UHS UN Equity,UHS
DGX UN Equity,DGX
ROK UN Equity,ROK
AMT UN Equity,AMT
AMZN UW Equity,AMZN
JKHY UW Equity,JKHY
BXP UN Equity,BXP
APH UN Equity,APH
PXD UN Equity,PXD
SNPS UW Equity,SNPS
CHRW UW Equity,CHRW
ACN UN Equity,ACN
PLD UN Equity,PLD
FE UN Equity,FE
PWR UN Equity,PWR
AEE UN Equity,AEE
ANSS UW Equity,ANSS
FDS UN Equity,FDS
NVDA UW Equity,NVDA
CTSH UW Equity,CTSH
ISRG UW Equity,ISRG
TTWO UW Equity,TTWO
RSG UN Equity,RSG
EBAY UW Equity,EBAY
GS UN Equity,GS
SRE UN Equity,SRE
ON UW Equity,ON
BKNG UW Equity,BKNG
FFIV UW Equity,FFIV
AKAM UW Equity,AKAM
MKTX UW Equity,MKTX
DVN UN Equity,DVN
GOOGL UW Equity,GOOGL
TECH UW Equity,TECH
TFX UN Equity,TFX
NFLX UW Equity,NFLX
A UN Equity,A
ELV UN Equity,ELV
CME UW Equity,CME
JNPR UN Equity,JNPR
BLK UN Equity,BLK
DTE UN Equity,DTE
CE UN Equity,CE
NDAQ UW Equity,NDAQ
CRM UN Equity,CRM
HII UN Equity,HII
MET UN Equity,MET
EW UN Equity,EW
AMP UN Equity,AMP
ZBRA UW Equity,ZBRA
ZBH UN Equity,ZBH
CPT UN Equity,CPT
CBRE UN Equity,CBRE
MA UN Equity,MA
ICE UN Equity,ICE
FIS UN Equity,FIS
CMG UN Equity,CMG
LYV UN Equity,LYV
AIZ UN Equity,AIZ
NRG UN Equity,NRG
MNST UW Equity,MNST
RF UN Equity,RF
EXPE UW Equity,EXPE
CF UN Equity,CF
LDOS UN Equity,LDOS
FSLR UW Equity,FSLR
V UN Equity,V
MAA UN Equity,MAA
XYL UN Equity,XYL
MPC UN Equity,MPC
RMD UN Equity,RMD
MTD UN Equity,MTD
CPRT UW Equity,CPRT
ALB UN Equity,ALB
FTNT UW Equity,FTNT
ESS UN Equity,ESS
CSGP UW Equity,CSGP
O UN Equity,O
WAB UN Equity,WAB
POOL UW Equity,POOL
CHD UN Equity,CHD
FRT UN Equity,FRT
MGM UN Equity,MGM
JBHT UW Equity,JBHT
MHK UN Equity,MHK
PNR UN Equity,PNR
VRTX UW Equity,VRTX
URI UN Equity,URI
ARE UN Equity,ARE
CNC UN Equity,CNC
MLM UN Equity,MLM
ACGL UW Equity,ACGL
EG UN Equity,EG
GPN UN Equity,GPN
APTV UN Equity,APTV
ALGN UW Equity,ALGN
TRGP UN Equity,TRGP
LKQ UW Equity,LKQ
EQIX UW Equity,EQIX
DLR UN Equity,DLR
MOH UN Equity,MOH
LVS UN Equity,LVS
