,Start Date,End Date,a,b,Spread Return,Position,Correlation,Hurst Exponent,ADF t-statistic,ADF p-value,mu,theta,sigma2
81,2017-10-26,2018-03-23,276,410,0.17749861390267777,-1,0.8730974561435643,0.3119801159107619,-3.48876956013231,0.008280243537885368,0.13876585428271473,26.66386856323356,0.005330643566717802
82,2018-06-19,2018-07-12,12,351,0.16131406699243003,1,0.8068960694897199,0.24792363146157428,-3.4670240687223313,0.00887549074687727,0.3904448016600489,23.01188883486908,0.018981082247412916
83,2018-07-25,2018-12-28,12,24,-0.10751662019103318,-1,0.9257843702516432,0.22147421426521027,-3.8380397719311214,0.002541237126796726,0.1954592155175097,33.259606257006745,0.007908220248473421
84,2015-10-14,2015-10-27,120,80,0.11427533947290404,1,0.7102196757490246,0.2618816035774423,-4.756778622218591,6.574290011481555e-05,0.373070473105807,40.929632568745255,0.02241493532708545
85,2015-11-05,2015-12-15,181,297,0.3052634959411631,1,0.8801350660454049,0.328013143605597,-3.515682146734624,0.007593359862815661,0.12322323465727411,28.63539810513423,0.008197615229430542
86,2016-01-08,2016-02-08,303,52,0.2565464269112061,1,0.77776663651455,0.23555773933931054,-4.003732564599753,0.0013910920684356515,0.22388840017208814,35.917944646800215,0.025675422013930776
87,2016-02-09,2018-12-28,295,208,-0.6626032528538682,-1,0.7035682616361175,0.3859612827663008,-3.5046029866677277,0.007869663547681382,0.566332878829638,11.614332150862852,0.015175089138944754
88,2015-10-20,2016-01-15,93,148,0.19202668800482375,-1,0.7154043050966283,0.35039387256656057,-3.456874941387399,0.00916622184909806,0.3098901975496662,22.283614899102663,0.021042795189146528
89,2016-01-19,2016-01-28,33,41,0.17924925826800112,1,0.7173631409771953,0.16687108072060086,-4.163080005258438,0.0007604079984301592,0.3849044938749969,37.31917900452287,0.023917006066519315
90,2016-01-29,2018-12-28,143,52,-0.5288332303806859,-1,0.7483275873554798,0.2988721594085711,-3.707289884100298,0.004011776035649186,0.5285689177040465,23.586272018109582,0.018342129211839864
91,2015-10-21,2015-11-10,280,79,0.3533551509117838,1,0.8074798567187698,0.35652700725760295,-3.480321090312386,0.008507109298777606,0.19952647079331393,22.6624147950625,0.020405357574827518
92,2015-11-13,2016-01-13,92,277,0.0955031498290181,1,0.7557524242833726,0.2889759960254369,-3.637289591205924,0.005086868736190919,0.45439755882155486,25.4373726838399,0.012216664315642002
93,2016-01-14,2016-01-25,187,185,0.1590655179666421,-1,0.709883339941421,0.3689164399686745,-3.8998761356976823,0.0020357588685145597,0.26665093367650483,24.242035548697103,0.016177064095079043
94,2016-01-26,2018-12-28,70,33,-0.766001084009853,-1,0.728294401975895,0.2289776156786254,-4.138259406348826,0.0008367134667748531,0.32778140586069304,32.45798807713511,0.020349547343801472
95,2015-11-06,2016-01-22,143,277,0.1396930882559024,1,0.7147116749375634,0.38029190048432676,-3.5523166457073465,0.006740860805006748,0.46330188733841915,15.493737146642369,0.01776511611322943
96,2016-01-25,2018-12-28,92,160,-0.5336473119900299,-1,0.7575036448417473,0.2754281683154499,-4.055081687003874,0.0011480214497956713,0.3844104586692935,34.13156511375632,0.01398409675921725
97,2015-11-10,2016-01-22,258,276,0.1597553389148032,-1,0.8847889466312543,0.31825950190420593,-3.45748290497891,0.00914856881623009,0.20544952683012987,27.676731611323206,0.008559360211067629
98,2016-01-25,2016-02-03,103,181,0.17521068396378583,-1,0.8395486170743841,0.36089351708491074,-3.564728061785119,0.0064722795279763,0.22119376776394536,17.29042339190185,0.007410560006878914
99,2016-02-08,2017-07-06,309,287,0.1460626253316261,-1,0.7031461316288544,0.28282491152255185,-3.9700322313335867,0.0015758215834828038,0.32358868313781536,33.69999055224292,0.01648724993298717
100,2017-10-30,2017-11-16,110,347,0.19279140030945532,-1,0.8272889334413179,0.3757214805295601,-3.7588843479549983,0.0033571347260624206,0.16212478867694236,47.052948276392044,0.005623785167175472
101,2018-07-26,2018-12-28,405,339,-0.11852190284814462,-1,0.8093376433982798,0.39700983704165504,-4.250999996179503,0.0005394850267509387,0.16094860813812192,17.665987045673916,0.008985826330329221
102,2015-12-08,2016-06-30,280,63,0.19463020381027443,1,0.7987978681092182,0.338402079595544,-3.693821500667374,0.004200904379648116,0.3171765331743015,26.75496518422066,0.02049490314812173
103,2016-07-12,2016-08-23,137,12,0.18683759633878072,1,0.9088103098967067,0.33145059596877674,-3.6195461877255983,0.005398155634481674,0.18606521520167602,26.88803552683042,0.009518526193601108
104,2016-08-24,2016-11-22,164,144,0.1341219769115977,1,0.74816659099538,0.2770145162768983,-3.7226899552356962,0.003805085970318366,0.3829990998361316,51.506846894968696,0.021230275060192615
105,2016-11-23,2017-02-08,258,354,0.2123159231980377,1,0.8065118142215226,0.27246885817576866,-3.7833506379270965,0.0030823277945244997,0.21847270027873886,33.617767068978665,0.014693630276433372
106,2017-02-13,2017-05-17,242,269,0.4887181730282502,1,0.8263775553886568,0.3008920144180747,-3.5392487541768043,0.007034495795721172,0.11433335281232156,19.950913347911065,0.011055524817937468
107,2017-10-30,2017-12-08,110,452,0.1428507183781809,-1,0.8135059257700088,0.42000007993035826,-3.6834705924128537,0.004351754614640004,0.17552747177788802,29.50913804582657,0.0058069206209148865
108,2018-10-29,2018-12-12,117,388,0.17973710057977924,1,0.7519309150732417,0.37015804110910616,-3.5374617622410476,0.0070755344926092855,0.5850717454373295,14.273991343014531,0.03923661310323871
109,2018-12-13,2018-12-28,452,58,0.13325260709142173,-1,0.749426575880539,0.4513544804989603,-3.478347539589722,0.00856090248517479,0.16468703694122808,9.95323859587514,0.010499117731916212
110,2016-01-08,2016-11-18,329,63,0.14804848003518573,1,0.8110369446188738,0.2861515773742272,-3.4324857217743934,0.009900045831455288,0.4195979626941675,24.57387858105728,0.022687393011496217
111,2016-11-21,2018-04-06,199,103,0.19531205264384652,-1,0.7166711682148946,0.24581682805868776,-4.7469412064111465,6.862865450180041e-05,0.190175786306196,50.35865171702348,0.016970641119124268
112,2018-11-27,2018-12-28,110,282,0.004819870742846874,-1,0.7199528389166229,0.40850375245721376,-3.495213352013736,0.0081108796628105,0.2790501588360071,17.904024878473717,0.010211708775902576
113,2016-01-19,2016-11-09,258,332,0.2386482122880029,-1,0.8693439342596069,0.2240633033178129,-3.9808956187006035,0.0015139182686601097,0.15872375375549155,36.20233929013056,0.008459804150819
114,2016-11-14,2017-01-23,3,0,0.19183011415235215,1,0.7057532215226674,0.26878287104159004,-3.622716490573357,0.005341296707900738,0.34872997405610434,31.077417307305055,0.022901037511182405
115,2017-01-27,2017-03-28,79,208,0.5282201045823003,1,0.8701561536061687,0.3757623935397402,-3.745169157384675,0.003520851185712711,0.1523078589697409,22.94664140705082,0.027168431681583737
116,2017-03-30,2018-12-28,137,24,-0.37540418645398776,1,0.846158137423635,0.3752177294455488,-3.482259987415443,0.008454556420184613,0.5897282929368007,27.98100012100644,0.010890429648717248
117,2016-01-21,2016-12-01,329,208,0.2651080803038271,1,0.7981513079617202,0.3379772687723858,-4.019719008732803,0.0013107045841247288,0.3141583558278139,28.910102971225808,0.023348142606858933
118,2016-12-12,2018-12-28,258,413,-0.30007153434942,-1,0.7932012417873968,0.23009728734586285,-4.071391826834098,0.0010795253011837626,0.36883383791082275,37.17388871728756,0.016489779074107366
119,2016-01-25,2016-02-03,184,318,0.24149116492284853,1,0.8211358495521011,0.24971077104510317,-3.5909169037865905,0.005937070306431398,0.19274995390379193,28.174333153648515,0.011140330785855062
120,2016-02-08,2016-03-01,208,351,0.33982284232021803,1,0.823112845664832,0.25360491804594504,-4.14688930254102,0.0008094032587732317,0.1648827188121638,36.15593665800712,0.0266222234452065
121,2016-03-03,2016-10-31,126,52,0.15325955256064458,-1,0.7730569784621708,0.2712999643375403,-4.085634300524997,0.0010228560271087377,0.45178147248709793,26.473419590340146,0.027553560073658338
122,2016-11-01,2018-12-28,332,413,-0.5027453652219824,-1,0.7217080682816663,0.29773618869254126,-3.810190676788359,0.002804755127178717,0.3766056276040949,31.934437306890807,0.018905462711477895
123,2016-01-26,2016-02-03,103,332,0.18329365455376898,-1,0.8053829300491342,0.4634459303378631,-4.170358794922953,0.0007393009900126842,0.24968238230644368,17.90188529661525,0.008394966675765218
124,2016-03-28,2016-04-11,258,282,0.11340194241061362,-1,0.7003307117305616,0.29506217835467213,-3.4505185417574413,0.00935262400782832,0.37572256495231093,27.43478300765059,0.01780885652850272
125,2016-04-12,2018-12-28,33,208,-0.44505592432436714,1,0.8347990056654424,0.27774885001660393,-3.769899611922211,0.0032307393613151864,0.34207635712188006,34.066481607476405,0.014910421991020899
126,2016-01-28,2016-02-03,103,323,0.12681721095929632,-1,0.7889782317515524,0.4175914492784819,-6.153689098833869,7.456497492484803e-08,0.28024190984862846,25.16072241733908,0.008584754598454829
127,2016-03-28,2018-12-28,33,361,,1,0.848326551302974,0.3136780253686444,-4.447542160033015,0.0002443153398620214,0.26807779240164104,41.876628539508005,0.014277255641126625
128,2016-01-28,2016-04-21,110,342,0.11821513800706245,-1,0.7124619674798053,0.406526270953034,-4.464326934479268,0.00022797921128982045,0.3449894379442297,30.995446018060743,0.013382163264030566
129,2016-04-26,2018-12-28,33,277,-2.4714828435139324,1,0.7485474952638916,0.2658963431635722,-3.561072351003157,0.006550365062885739,0.38822369854318173,29.19138627854365,0.020894492104807025
130,2016-01-28,2016-02-03,103,452,0.18589445150171124,-1,0.8191939349936596,0.38156607864380954,-3.6842273805500327,0.004340560089283757,0.22515634097760567,21.73960127018971,0.007923298372465536
131,2016-03-29,2016-05-18,452,276,0.2015952828717713,-1,0.8289696999052206,0.3322809947941455,-3.809779652149946,0.0028088263768320187,0.14649595417386252,30.471505116063202,0.011616263852745785
132,2016-05-25,2016-07-21,200,208,0.17646838974515838,-1,0.8329567430113367,0.37234060515563033,-3.5421790356271394,0.006967666014160162,0.2410906016592437,26.267588579925246,0.016864771792287517
133,2016-08-03,2017-02-15,159,274,0.11396872148943911,-1,0.7146471991593021,0.33948711697815576,-3.8872791657694377,0.0021304857725071287,0.45346348888279786,34.22511058630063,0.026201630524774863
134,2017-02-16,2017-11-06,269,182,0.13760453619605573,-1,0.7385569890197757,0.28114216422944377,-4.391533635257339,0.0003072426044590806,0.3514148663346171,28.194397662421306,0.01755426662829543
135,2017-11-07,2018-12-28,318,452,-0.4327299324560538,-1,0.8554545965869632,0.2515598614434532,-4.131735197473495,0.0008579310160052782,0.06947942782314193,36.16879383990055,0.0055567008356742584
136,2016-01-29,2018-12-28,120,197,-0.4107772233164401,-1,0.7054647620790235,0.34049149587626326,-3.436549273408241,0.009774247881340013,0.3576752076445391,15.798299511591084,0.019174455261198483
137,2016-06-01,2018-12-28,318,332,,1,0.8474582702545248,0.26648274374792924,-3.4310945242579725,0.009943445388076485,0.16671546672066834,27.50607346513359,0.012916577198503528
138,2016-06-03,2018-07-23,244,171,0.2246973279566893,-1,0.7225327494821357,0.33192943415672327,-3.461865168913903,0.009022222494760377,0.3280796987282594,24.90640796730956,0.04719305708054682
139,2018-12-04,2018-12-28,110,181,0.0625236465244238,-1,0.8679082584687359,0.2670373773233027,-4.249803510294698,0.0005420362819038186,0.11477946095448235,36.43666204621059,0.005698357034912554
140,2016-06-21,2016-10-21,463,464,0.09610295204086931,-1,0.7101828186750434,0.43040000893247193,-3.5170064920394144,0.007560923481112839,0.5259803967347904,21.521469060529352,0.02120608607978655
141,2016-10-24,2016-11-08,290,200,0.20143065517242337,1,0.8322009865502339,0.4331901847666595,-4.415392987840645,0.0002787568052448392,0.22871955957838463,28.862166098821497,0.01744130416592255
142,2016-11-14,2018-12-28,110,354,-0.3522394975839166,1,0.7376421346762728,0.34771160836025783,-3.606208835241741,0.005643431552763319,0.2894806400276379,29.306750392009512,0.018866757316275504
143,2016-06-30,2016-07-20,290,208,0.21635174248895717,-1,0.797084998072682,0.352168460806054,-3.465596026728865,0.008915892050028438,0.30276567265576004,28.047078472026516,0.02384302737699581
144,2016-08-08,2016-08-31,130,149,0.2653130400650264,-1,0.7553338792883033,0.3744372328657639,-3.8807260088193165,0.002181361992692069,0.21361393360399591,23.008756422233468,0.0282153397338543
145,2016-09-26,2017-06-08,181,347,0.2059439620428069,1,0.8395799298260298,0.2770990681455383,-3.7018145851316766,0.004087702651818004,0.16314442797434803,42.14181977296449,0.012370638362648846
146,2017-10-31,2017-11-06,110,318,0.1236268995738737,-1,0.8492953251999763,0.30600046944167836,-3.452597866712992,0.00929127733686028,0.163332069367651,33.415022890899856,0.005060438165608073
147,2016-06-30,2016-07-13,295,143,0.16106643793458067,-1,0.7700047352081326,0.2532189067918723,-4.190317254715886,0.0006842134322661783,0.2143000610728229,38.46105054563677,0.015688237606225824
148,2016-10-03,2016-12-30,454,411,0.1267298062330125,1,0.8344054225645392,0.2574334177835798,-3.850466605341532,0.0024311871079771654,0.31907078897445096,33.2301065781871,0.011122915129227615
149,2017-02-01,2018-02-05,199,452,0.2403516776092016,1,0.7851603860686838,0.21976146621574705,-3.5632749436947746,0.006503216563343067,0.22344783108941318,31.303904437031576,0.013794944844583878
150,2016-10-19,2016-10-31,4,0,0.15687333839041573,-1,0.7431368596515989,0.23280986071919707,-4.851633878005337,4.327747777484557e-05,0.36957913330430747,48.5884913402146,0.029578992455042818
151,2016-11-02,2018-01-18,234,228,0.21441031022110058,1,0.7953977007784631,0.27445757302863943,-3.5403244626255423,0.007009895610281096,0.31056406811816833,29.018279979328586,0.030246468021261023
152,2016-10-19,2018-06-13,452,413,0.16039809832020654,-1,0.7797202734362182,0.2955700190545771,-3.5261009427722816,0.007341530106594841,0.2584626030813937,27.432847179208828,0.01564203478332926
153,2016-10-21,2016-11-02,252,122,0.21342152075173554,-1,0.7516637488446508,0.3788256930058263,-3.749738357700844,0.0034655130445035596,0.2633369471858663,31.677035860814854,0.027417449198751564
154,2016-11-21,2017-03-21,280,277,0.42238513006896183,-1,0.7732711348792117,0.2175235562068693,-3.5396210450954646,0.0070259731368585735,0.13506678936361777,29.354822037054948,0.03444293754796201
155,2016-10-25,2018-05-07,396,63,0.26364325773308145,-1,0.7695079755997282,0.36010554501913744,-3.7571555520060644,0.0033773790935186414,0.292059885157493,29.025221222143312,0.03227346106050256
156,2016-10-26,2018-10-22,396,277,0.3056220434628924,-1,0.7259187882960666,0.23764334153280198,-3.4572946363414214,0.009154032188333274,0.23227457943206387,22.039306565025004,0.032607657864950054
157,2016-10-28,2018-12-28,146,102,-0.3423625539968688,-1,0.7908748797552051,0.2145578973236772,-3.7884395156330934,0.0030278333751145533,0.24851167695109938,33.05444134873684,0.009695398987924701
158,2016-11-29,2018-12-28,347,413,-0.24726141307113683,-1,0.7783436564186981,0.30110606505550674,-3.4603388705794744,0.009066049035641347,0.3512409699684094,26.09837256527839,0.016151575554187385
159,2016-12-28,2017-01-17,277,464,0.3779148643822491,1,0.729486226937472,0.46223470022785673,-3.56491205008818,0.006468371908160555,0.2505921538108231,21.225880804124788,0.037200568619603816
160,2017-02-16,2017-05-01,258,269,0.312078962598051,1,0.8557916914902841,0.20531819736425055,-5.046112419216943,1.7972878673686545e-05,0.10754911511063939,33.17798706410359,0.008519798204909154
161,2017-02-28,2017-04-19,12,464,0.12363587091249217,-1,0.8172969254510581,0.2967163489288245,-4.078689950927441,0.0010501299992163422,0.4265775618673551,32.48872752592528,0.019009090213153543
162,2017-03-08,2017-07-07,182,413,0.11998153236879627,-1,0.7064791436977175,0.2766853784355079,-3.753265723852227,0.003423339685011904,0.36982926469640504,30.29805710663342,0.019252557354656922
